actual,proposed
-6.564855575561523,-6.545396327972412
-6.496432304382324,-6.564855575561523
-6.521972179412842,-6.496432304382324
-6.5410990715026855,-6.521972179412842
-6.566566467285156,-6.5410990715026855
-6.579283714294434,-6.566566467285156
-6.451158046722412,-6.579283714294434
-6.476119518280029,-6.451158046722412
-6.494815349578857,-6.476119518280029
-6.507266521453857,-6.494815349578857
-6.532139778137207,-6.507266521453857
-6.363232135772705,-6.532139778137207
-6.381467342376709,-6.363232135772705
-6.39968204498291,-6.381467342376709
-6.411813735961914,-6.39968204498291
-6.429994106292725,-6.411813735961914
-6.442340850830078,-6.429994106292725
-6.454428195953369,-6.442340850830078
-6.460468292236328,-6.454428195953369
-6.466506004333496,-6.460468292236328
-6.478574275970459,-6.466506004333496
-6.427638530731201,-6.478574275970459
-6.433621883392334,-6.427638530731201
-6.433621883392334,-6.433621883392334
-6.439602851867676,-6.433621883392334
-6.445581912994385,-6.439602851867676
-6.439602851867676,-6.445581912994385
-6.332334995269775,-6.439602851867676
-6.338240146636963,-6.332334995269775
-6.344143390655518,-6.338240146636963
-6.338240146636963,-6.344143390655518
-6.332334995269775,-6.338240146636963
-6.251317024230957,-6.332334995269775
-6.257165908813477,-6.251317024230957
-6.251317024230957,-6.257165908813477
-6.257165908813477,-6.251317024230957
-6.245466232299805,-6.257165908813477
-6.154409408569336,-6.245466232299805
-6.154409408569336,-6.154409408569336
-6.154409408569336,-6.154409408569336
-6.148626804351807,-6.154409408569336
-6.154409408569336,-6.148626804351807
-6.062010288238525,-6.154409408569336
-6.06773042678833,-6.062010288238525
-6.062010288238525,-6.06773042678833
-6.050564289093018,-6.062010288238525
-6.050564289093018,-6.050564289093018
-6.033381462097168,-6.050564289093018
-5.932002067565918,-6.033381462097168
-5.926339149475098,-5.932002067565918
-5.9150071144104,-5.926339149475098
-5.926339149475098,-5.9150071144104
-5.920673847198486,-5.926339149475098
-5.919516086578369,-5.920673847198486
-5.902513027191162,-5.919516086578369
-5.9138503074646,-5.902513027191162
-5.919516086578369,-5.9138503074646
-5.908182621002197,-5.919516086578369
-5.82130765914917,-5.908182621002197
-5.82130765914917,-5.82130765914917
-5.815697193145752,-5.82130765914917
-5.815697193145752,-5.815697193145752
-5.815697193145752,-5.815697193145752
-5.810084819793701,-5.815697193145752
-5.723479747772217,-5.810084819793701
-5.717926025390625,-5.723479747772217
